"var","p_accuracy","rmse","see","type"
"CC_Oss",0.976303317535545,2.19567638437729,"+/- 4.31","Ossification"
"CT_EF",0.650717703349282,3.94477702859291,"+/- 6.45","Epiphyseal Fusion"
"FBDE_EF",0.862559241706161,3.21094490841619,"+/- 5.99","Epiphyseal Fusion"
"FBDL",0.952,0.977036331852424,"+/- 1.83","Diaphyseal Dimension"
"FBPE_EF",0.856459330143541,2.83889140869439,"+/- 5.33","Epiphyseal Fusion"
"FDB",0.979166666666667,1.93613166860812,"+/- 3.78","Diaphyseal Dimension"
"FDE_EF",0.821256038647343,3.52562315828174,"+/- 6.71","Epiphyseal Fusion"
"FDL",0.975409836065574,0.84512557419784,"+/- 1.62","Diaphyseal Dimension"
"FGT_EF",0.815165876777251,3.02021233269118,"+/- 5.21","Epiphyseal Fusion"
"FH_EF",0.845794392523365,3.46588981176726,"+/- 6.15","Epiphyseal Fusion"
"FLT_EF",0.803738317757009,2.89729803917567,"+/- 5.25","Epiphyseal Fusion"
"FMSB",0.934959349593496,2.31941054505984,"+/- 4.04","Diaphyseal Dimension"
"HC_Oss",0.976303317535545,6.88491662687282,"+/- 13.47","Ossification"
"HDB",0.945736434108527,2.17986129652985,"+/- 4.08","Diaphyseal Dimension"
"HDE_EF",0.747619047619048,3.74193557083793,"+/- 6.26","Epiphyseal Fusion"
"HDL",0.981132075471698,0.723983410283462,"+/- 1.41","Diaphyseal Dimension"
"HGT_Oss",0.97196261682243,5.98195363955837,"+/- 11.74","Ossification"
"HH_Oss",0.985981308411215,7.66646938836128,"+/- 14.96","Ossification"
"HLE_Oss",0.971153846153846,2.64073721419222,"+/- 5.19","Ossification"
"HLT_Oss",0.961904761904762,4.99541973082766,"+/- 9.81","Ossification"
"HME_EF",0.789473684210526,3.05957238624177,"+/- 5.55","Epiphyseal Fusion"
"HMSB",0.975806451612903,2.86799773252585,"+/- 5.16","Diaphyseal Dimension"
"HPB",0.95364238410596,1.66888900775181,"+/- 3.27","Diaphyseal Dimension"
"HPE_EF",0.775700934579439,3.04512165140144,"+/- 5.54","Epiphyseal Fusion"
"HT_Oss",0.947867298578199,3.23310305611502,"+/- 6.34","Ossification"
"IC_EF",0.901098901098901,2.96471769628614,"+/- 5.82","Epiphyseal Fusion"
"ILIS_EF",0.953051643192488,2.59767672810614,"+/- 5.1","Epiphyseal Fusion"
"ISPR_EF",0.957746478873239,2.99720653155324,"+/- 5.89","Epiphyseal Fusion"
"man_C",0.96551724137931,1.94247949933935,"+/- 3.82","Dental Development"
"man_I1",0.950276243093923,2.29574998183828,"+/- 4.51","Dental Development"
"man_I2",0.977401129943503,2.13063768963244,"+/- 4.19","Dental Development"
"man_M1",0.941176470588235,2.47037300123444,"+/- 4.85","Dental Development"
"man_M2",0.948529411764706,1.78626616970148,"+/- 3.48","Dental Development"
"man_M3",0.952380952380952,1.61697569095685,"+/- 3.15","Dental Development"
"man_PM1",0.959731543624161,2.02035090549396,"+/- 3.97","Dental Development"
"man_PM2",0.925373134328358,2.1013539788341,"+/- 4.13","Dental Development"
"max_C",0.954022988505747,1.93770607645905,"+/- 3.81","Dental Development"
"max_I1",0.938202247191011,2.30844553106546,"+/- 4.54","Dental Development"
"max_I2",0.969135802469136,2.07022419256551,"+/- 4.06","Dental Development"
"max_M1",0.962162162162162,2.40236002810096,"+/- 4.72","Dental Development"
"max_M2",0.956521739130435,1.73706904641644,"+/- 3.39","Dental Development"
"max_M3",0.954022988505747,1.78660967931863,"+/- 3.52","Dental Development"
"max_PM1",0.965753424657534,2.00492318333239,"+/- 3.94","Dental Development"
"max_PM2",0.940298507462687,2.02322142884433,"+/- 3.98","Dental Development"
"PC_Oss",0.942307692307692,4.43602833939075,"+/- 8.69","Ossification"
"RDB",0.965034965034965,1.92939928798384,"+/- 3.67","Diaphyseal Dimension"
"RDE_EF",0.816901408450704,3.26195606570272,"+/- 6.07","Epiphyseal Fusion"
"RDL",0.956521739130435,0.845391707319537,"+/- 1.61","Diaphyseal Dimension"
"RMSB",0.959349593495935,2.78362100424205,"+/- 4.62","Diaphyseal Dimension"
"RPB",0.932835820895522,2.00862908916551,"+/- 3.66","Diaphyseal Dimension"
"RPE_EF",0.76303317535545,3.73555690037139,"+/- 6.15","Epiphyseal Fusion"
"TC_Oss",0.966666666666667,5.03744822529743,"+/- 9.84","Ossification"
"TDB",0.979166666666667,1.80412221368834,"+/- 3.49","Diaphyseal Dimension"
"TDE_EF",0.848341232227488,3.31194472061058,"+/- 6.16","Epiphyseal Fusion"
"TDL",0.966942148760331,0.887080053851491,"+/- 1.69","Diaphyseal Dimension"
"TMSB",0.944,2.52572930601228,"+/- 4.47","Diaphyseal Dimension"
"TPB",0.959183673469388,1.87070495399563,"+/- 3.61","Diaphyseal Dimension"
"TPE_EF",0.839805825242718,3.27374037768949,"+/- 6.16","Epiphyseal Fusion"
"UDE_EF",0.797169811320755,2.72949260199321,"+/- 4.87","Epiphyseal Fusion"
"UDL",0.956521739130435,0.834239504606464,"+/- 1.61","Diaphyseal Dimension"
"UMSB",0.943548387096774,3.43814626489495,"+/- 5.94","Diaphyseal Dimension"
"UPE_EF",0.832535885167464,3.07404799346765,"+/- 5.53","Epiphyseal Fusion"
